timestamp,Q,I
11306,-78.40,403.57,4104.00
11325,167.92,468.32,131328.00
11345,-78.79,403.57,4104.00
11364,162.68,468.19,131328.00
11384,-79.52,404.16,4104.00
11403,161.76,465.41,131328.00
11423,-78.86,403.17,4104.00
11442,168.11,468.39,131328.00
11461,-78.79,401.45,4104.00
11481,160.10,464.15,131328.00
11500,-78.79,400.72,4104.00
11520,166.79,464.62,131328.00
11539,-79.06,400.06,4104.00
11559,158.51,461.57,131328.00
11578,-77.47,398.01,4104.00
11598,163.94,464.55,131328.00
11617,-78.20,398.20,4104.00
11637,164.01,464.28,131328.00
11656,-77.47,397.41,4104.00
11676,165.60,462.50,131328.00
11695,-77.60,396.95,4104.00
11715,157.72,458.99,131328.00
11734,-78.26,394.89,4104.00
11754,157.72,459.12,131328.00
11773,-76.01,395.29,4104.00
11793,157.65,456.01,131328.00
11812,-77.07,392.64,4104.00
11832,156.39,455.54,131328.00
11851,-76.54,390.66,4104.00
11871,163.74,456.67,131328.00
11890,-77.14,390.66,4104.00
11910,157.65,457.73,131328.00
11929,-76.08,388.27,4104.00
11949,154.54,454.02,131328.00
11968,-76.54,386.75,4104.00
11988,155.34,451.44,131328.00
12007,-76.48,386.62,4104.00
12027,154.61,453.16,131328.00
12046,-76.14,384.10,4104.00
12066,156.06,449.19,131328.00
12085,-76.94,381.05,4104.00
12105,153.48,450.25,131328.00
12124,-76.08,379.93,4104.00
12144,156.20,451.37,131328.00
12163,-75.35,378.34,4104.00
12183,155.60,449.78,131328.00
12202,-75.22,376.75,4104.00
12222,150.90,443.43,131328.00
12241,-76.21,373.77,4104.00
12261,151.56,444.35,131328.00
12280,-74.69,372.31,4104.00
12300,157.98,445.68,131328.00
12319,-75.55,370.53,4104.00
12339,152.49,439.52,131328.00
12358,-74.56,369.07,4104.00
12378,156.86,443.23,131328.00
12397,-74.95,368.28,4104.00
12417,153.28,439.26,131328.00
12436,-75.88,366.69,4104.00
12456,151.03,441.04,131328.00
12475,-74.82,365.36,4104.00
12495,155.60,439.39,131328.00
12514,-74.22,364.30,4104.00
12534,154.87,439.26,131328.00
12553,-74.42,362.52,4104.00
12573,147.12,436.01,131328.00
12592,-75.35,361.46,4104.00
12612,153.75,437.60,131328.00
12631,-73.83,360.66,4104.00
12651,147.06,435.95,131328.00
12670,-76.34,358.48,4104.00
12690,152.82,437.67,131328.00
12709,-74.75,357.95,4104.00
12729,149.64,436.48,131328.00
12748,-75.02,356.23,4104.00
12768,154.61,434.55,131328.00
12787,-75.35,354.64,4104.00
12807,151.96,434.89,131328.00
12826,-75.55,353.05,4104.00
12846,151.63,433.69,131328.00
12865,-73.83,351.13,4104.00
12884,143.68,428.79,131328.00
12904,-74.22,350.86,4104.00
12923,144.15,426.15,131328.00
12943,-75.48,348.54,4104.00
12962,144.01,428.86,131328.00
12982,-75.48,346.56,4104.00
13001,149.77,429.85,131328.00
13021,-74.03,345.56,4104.00
13040,142.56,426.41,131328.00
13060,-73.96,344.51,4104.00
13079,143.02,422.04,131328.00
13099,-74.29,341.79,4104.00
13118,144.74,426.68,131328.00
13138,-74.42,341.06,4104.00
13157,145.93,423.17,131328.00
13177,-75.42,340.47,4104.00
13196,139.84,421.71,131328.00
13216,-74.75,339.34,4104.00
13235,140.37,421.51,131328.00
13255,-74.89,339.41,4104.00
13274,143.22,423.70,131328.00
13294,-74.95,337.75,4104.00
13313,140.90,419.06,131328.00
13333,-75.28,337.09,4104.00
13352,147.72,424.16,131328.00
13372,-74.62,335.30,4104.00
13391,145.54,421.25,131328.00
13411,-75.55,333.85,4104.00
13430,146.46,421.64,131328.00
13450,-75.55,333.65,4104.00
13469,147.79,422.97,131328.00
13489,-76.94,332.65,4104.00
13508,138.12,417.87,131328.00
13528,-76.87,332.26,4104.00
13547,137.72,417.34,131328.00
13567,-76.21,331.20,4104.00
13586,140.70,420.12,131328.00
13606,-74.56,329.54,4104.00
13625,139.38,415.49,131328.00
13645,-76.61,329.14,4104.00
13664,137.26,416.61,131328.00
13684,-75.15,327.55,4104.00
13703,143.81,418.60,131328.00
13723,-77.47,327.69,4104.00
13742,136.60,415.42,131328.00
13762,-75.81,326.56,4104.00
13781,139.71,417.87,131328.00
13801,-76.21,324.44,4104.00
13820,137.72,412.64,131328.00
13840,-76.21,324.58,4104.00
13859,135.41,414.69,131328.00
13879,-76.14,323.38,4104.00
13898,140.04,417.34,131328.00
13918,-75.75,321.66,4104.00
13937,137.66,415.62,131328.00
13957,-76.21,321.20,4104.00
13976,137.33,415.49,131328.00
13996,-76.87,321.00,4104.00
14015,139.31,415.82,131328.00
14035,-76.61,319.61,4104.00
14054,135.34,411.05,131328.00
14074,-76.01,320.21,4104.00
14093,141.89,416.21,131328.00
14113,-75.48,318.62,4104.00
14132,137.19,414.49,131328.00
14152,-77.14,317.62,4104.00
14171,135.01,411.78,131328.00
14191,-77.40,317.03,4104.00
14210,141.50,412.51,131328.00
14230,-76.94,315.64,4104.00
14249,136.07,413.50,131328.00
14269,-76.01,316.10,4104.00
14288,138.98,411.51,131328.00
14307,-77.20,315.24,4104.00
14327,140.50,414.49,131328.00
14346,-76.67,314.05,4104.00
14366,134.48,412.11,131328.00
14385,-77.47,312.99,4104.00
14405,135.07,412.11,131328.00
14424,-75.09,311.66,4104.00
14444,137.66,409.46,131328.00
14463,-77.60,311.27,4104.00
14483,134.88,411.18,131328.00
14502,-77.60,310.07,4104.00
14522,139.38,410.25,131328.00
14541,-77.34,308.62,4104.00
14561,132.16,407.94,131328.00
14580,-76.54,308.42,4104.00
14600,137.99,407.41,131328.00
14619,-78.06,307.62,4104.00
14639,138.32,408.20,131328.00
14658,-76.94,306.37,4104.00
14678,132.69,404.30,131328.00
14697,-78.00,305.90,4104.00
14717,138.45,408.93,131328.00
14736,-77.54,304.25,4104.00
14756,132.62,407.14,131328.00
14775,-78.59,304.12,4104.00
14795,131.50,403.96,131328.00
14814,-77.47,303.52,4104.00
14834,135.54,407.94,131328.00
14853,-77.47,304.78,4104.00
14873,130.77,406.15,131328.00
14892,-77.20,304.31,4104.00
14912,133.22,403.43,131328.00
14931,-76.74,304.71,4104.00
14951,137.13,407.54,131328.00
14970,-76.94,304.78,4104.00
14990,131.17,405.62,131328.00
15009,-75.68,304.25,4104.00
15029,138.12,408.60,131328.00
15048,-77.54,304.12,4104.00
15068,130.70,407.08,131328.00
15087,-77.07,303.59,4104.00
