timestamp,Q,I,F,phase_deg
12187.0,-5.8,19.8,131328,-16.33
12218.0,9.4,27.5,4104,18.87
12249.0,-5.5,19.9,131328,-15.45
12280.0,8.9,27.8,4104,17.75
12311.0,-5.7,19.9,131328,-15.98
12343.0,9.1,27.6,4104,18.25
12374.0,-5.5,20.2,131328,-15.23
12405.0,9.2,27.8,4104,18.31
12436.0,-5.8,20.4,131328,-15.87
12467.0,9.5,27.8,4104,18.87
12499.0,-5.7,20.6,131328,-15.47
12530.0,8.9,28.0,4104,17.63
12561.0,-5.7,20.8,131328,-15.33
12592.0,9.2,28.1,4104,18.13
12623.0,-5.5,21.0,131328,-14.68
12654.0,9.4,28.2,4104,18.43
12686.0,-5.6,21.4,131328,-14.66
12717.0,9.5,28.9,4104,18.20
12748.0,-5.8,21.6,131328,-15.03
12779.0,9.3,28.6,4104,18.01
12810.0,-5.7,21.9,131328,-14.59
12842.0,10.1,28.9,4104,19.26
12873.0,-5.3,22.4,131328,-13.31
12904.0,9.3,29.0,4104,17.78
12935.0,-5.6,22.5,131328,-13.98
12966.0,9.7,29.1,4104,18.43
12998.0,-5.3,23.0,131328,-12.98
13029.0,10.4,29.6,4104,19.36
13060.0,-5.4,23.6,131328,-12.89
13091.0,9.8,29.9,4104,18.15
13122.0,-5.6,24.0,131328,-13.13
13153.0,10.0,30.0,4104,18.43
13185.0,-5.3,24.5,131328,-12.21
13216.0,10.5,30.2,4104,19.17
13247.0,-5.5,25.0,131328,-12.41
13278.0,10.9,30.8,4104,19.49
13309.0,-5.5,25.6,131328,-12.13
13341.0,11.0,31.0,4104,19.54
13372.0,-5.4,26.1,131328,-11.69
13403.0,10.6,30.8,4104,18.99
13434.0,-5.4,26.3,131328,-11.60
13465.0,11.4,31.4,4104,19.95
13497.0,-5.4,26.7,131328,-11.43
13528.0,11.5,31.6,4104,20.00
13559.0,-5.4,27.1,131328,-11.27
13590.0,10.6,32.0,4104,18.33
13621.0,-5.4,27.5,131328,-11.11
13653.0,11.8,32.4,4104,20.01
13684.0,-5.5,28.0,131328,-11.11
13715.0,11.5,32.7,4104,19.38
13746.0,-5.4,28.3,131328,-10.80
13777.0,11.1,32.8,4104,18.70
13808.0,-5.3,28.6,131328,-10.50
13840.0,11.4,32.8,4104,19.17
13871.0,-5.6,28.7,131328,-11.04
13902.0,12.0,33.0,4104,19.98
13933.0,-5.3,28.9,131328,-10.39
13964.0,11.8,32.9,4104,19.73
13996.0,-5.8,28.8,131328,-11.39
14027.0,11.5,32.7,4104,19.38
14058.0,-5.5,28.8,131328,-10.81
14089.0,11.8,32.8,4104,19.79
14120.0,-5.6,28.7,131328,-11.04
14152.0,12.1,32.8,4104,20.25
14183.0,-5.3,28.7,131328,-10.46
14214.0,11.7,33.0,4104,19.52
14245.0,-5.5,28.4,131328,-10.96
14276.0,11.4,32.5,4104,19.33
14307.0,-5.6,28.5,131328,-11.12
14339.0,11.2,32.8,4104,18.85
14370.0,-5.5,28.1,131328,-11.07
14401.0,11.3,32.3,4104,19.28
14432.0,-5.5,28.0,131328,-11.11
14463.0,10.9,32.3,4104,18.65
14495.0,-5.4,27.6,131328,-11.07
14526.0,11.4,31.9,4104,19.67
14557.0,-5.4,27.2,131328,-11.23
14588.0,11.6,31.9,4104,19.98
14619.0,-5.4,26.9,131328,-11.35
14651.0,10.6,31.6,4104,18.54
14682.0,-5.5,26.6,131328,-11.68
14713.0,11.1,31.1,4104,19.64
14744.0,-5.5,25.9,131328,-11.99
14775.0,10.1,30.4,4104,18.38
14807.0,-5.4,25.6,131328,-11.91
14838.0,10.2,30.6,4104,18.43
14869.0,-5.3,25.2,131328,-11.88
14900.0,10.4,30.6,4104,18.77
14931.0,-5.3,24.8,131328,-12.06
14962.0,10.6,30.0,4104,19.46
14994.0,-5.5,24.3,131328,-12.75
15025.0,10.5,29.8,4104,19.41
15056.0,-5.3,24.1,131328,-12.40
15087.0,9.9,29.4,4104,18.61
15118.0,-5.6,23.7,131328,-13.29
15150.0,10.4,29.4,4104,19.48
15181.0,-5.2,23.3,131328,-12.58
15212.0,9.8,29.1,4104,18.61
15243.0,-5.4,22.9,131328,-13.27
15274.0,10.1,29.4,4104,18.96
15306.0,-5.4,22.7,131328,-13.38
15337.0,9.5,28.9,4104,18.20
15368.0,-5.3,22.6,131328,-13.20
15399.0,9.9,28.8,4104,18.97
15430.0,-5.6,22.2,131328,-14.16
15461.0,9.5,28.6,4104,18.37
15493.0,-5.6,22.1,131328,-14.22
15524.0,9.8,28.5,4104,18.98
15555.0,-5.4,21.8,131328,-13.91
15586.0,9.2,28.7,4104,17.77
15617.0,-5.6,21.5,131328,-14.60
15649.0,9.7,28.2,4104,18.98
15680.0,-5.7,21.4,131328,-14.91
15711.0,9.2,28.5,4104,17.89
15742.0,-5.7,21.2,131328,-15.05
15773.0,9.2,27.9,4104,18.25
15805.0,-5.7,20.9,131328,-15.26
15836.0,9.3,28.3,4104,18.19
15867.0,-5.6,20.9,131328,-15.00
15898.0,9.0,28.3,4104,17.64
15929.0,-5.6,20.7,131328,-15.14
15961.0,8.8,27.8,4104,17.57
15992.0,-5.7,20.6,131328,-15.47
16023.0,9.2,28.2,4104,18.07
16054.0,-5.8,20.6,131328,-15.72
16085.0,9.7,28.0,4104,19.11
16116.0,-5.8,20.6,131328,-15.72
16148.0,9.0,27.7,4104,18.00
16179.0,-5.8,20.5,131328,-15.80
16210.0,9.5,28.1,4104,18.68
16241.0,-5.6,20.3,131328,-15.42
16272.0,8.8,27.8,4104,17.57
16304.0,-5.6,20.2,131328,-15.49
16335.0,9.5,27.9,4104,18.80
16366.0,-5.7,20.2,131328,-15.76
16397.0,9.0,27.6,4104,18.06
16428.0,-5.7,19.9,131328,-15.98
16460.0,9.5,27.8,4104,18.87
16491.0,-5.8,20.0,131328,-16.17
16522.0,8.9,27.4,4104,17.99
16553.0,-5.7,19.8,131328,-16.06
16584.0,8.6,27.7,4104,17.25
16615.0,-5.8,19.8,131328,-16.33
16647.0,8.8,27.6,4104,17.68
16678.0,-5.8,19.9,131328,-16.25
16709.0,9.2,27.4,4104,18.56
16740.0,-5.8,19.7,131328,-16.41
16771.0,8.9,27.4,4104,17.99
16803.0,-5.8,19.8,131328,-16.33
16834.0,8.9,27.8,4104,17.75
16865.0,-5.8,19.8,131328,-16.33
16896.0,9.1,27.8,4104,18.13
16927.0,-5.8,19.6,131328,-16.48
16959.0,9.4,27.7,4104,18.74
16990.0,-5.8,19.8,131328,-16.33
17021.0,8.7,27.6,4104,17.50
17052.0,-5.8,19.6,131328,-16.48
17083.0,9.0,27.4,4104,18.18
17115.0,-5.8,19.8,131328,-16.33
17146.0,8.5,28.0,4104,16.89
17177.0,-5.5,20.1,131328,-15.30
17208.0,9.2,27.5,4104,18.50
17239.0,-5.6,19.9,131328,-15.72
17270.0,7.9,27.9,4104,15.81
17302.0,-5.8,19.9,131328,-16.25
17333.0,9.4,27.9,4104,18.62
17364.0,-5.7,19.9,131328,-15.98
17395.0,8.4,28.2,4104,16.59
17426.0,-5.5,20.0,131328,-15.38
17458.0,9.3,27.5,4104,18.68
17489.0,-5.6,20.1,131328,-15.57
17520.0,9.0,27.8,4104,17.94
17551.0,-5.6,20.2,131328,-15.49
17582.0,9.5,27.9,4104,18.80
17614.0,-5.9,20.4,131328,-16.13
17645.0,9.2,27.7,4104,18.37
17676.0,-5.6,20.4,131328,-15.35
17707.0,8.8,27.8,4104,17.57
17738.0,-5.7,20.5,131328,-15.54
17769.0,8.6,27.7,4104,17.25
17801.0,-5.7,20.6,131328,-15.47
17832.0,9.4,27.8,4104,18.68
17863.0,-5.5,20.7,131328,-14.88
17894.0,9.1,27.7,4104,18.19
17925.0,-5.6,20.9,131328,-15.00
17957.0,9.2,28.3,4104,18.01
17988.0,-5.7,21.0,131328,-15.19
18019.0,9.6,28.0,4104,18.92
18050.0,-5.5,21.1,131328,-14.61
18081.0,9.2,28.0,4104,18.19
18113.0,-5.7,21.2,131328,-15.05
18144.0,9.9,28.4,4104,19.22
18175.0,-5.5,21.5,131328,-14.35
18206.0,9.0,28.5,4104,17.53
18237.0,-5.6,21.6,131328,-14.53
18269.0,10.0,28.6,4104,19.27
18300.0,-5.4,21.9,131328,-13.85
18331.0,9.3,28.6,4104,18.01
18362.0,-5.4,22.0,131328,-13.79
18393.0,8.8,28.7,4104,17.05
18424.0,-5.4,22.3,131328,-13.61
18456.0,9.6,28.5,4104,18.62
18487.0,-5.6,22.5,131328,-13.98
18518.0,9.3,29.0,4104,17.78
18549.0,-5.5,22.7,131328,-13.62
18580.0,9.6,29.3,4104,18.14
18612.0,-5.4,22.8,131328,-13.32
18643.0,10.3,29.4,4104,19.31
18674.0,-5.4,23.2,131328,-13.10
18705.0,9.8,29.1,4104,18.61
18736.0,-5.4,23.4,131328,-12.99
18768.0,9.7,29.6,4104,18.14
18799.0,-5.6,23.9,131328,-13.19
18830.0,10.0,29.9,4104,18.49
18861.0,-5.3,24.2,131328,-12.35
18892.0,10.6,29.8,4104,19.58
18923.0,-5.3,24.4,131328,-12.26
18955.0,10.6,30.0,4104,19.46
18986.0,-5.0,24.7,131328,-11.44
19017.0,10.2,29.9,4104,18.84
19048.0,-5.4,24.9,131328,-12.24
19079.0,10.4,30.5,4104,18.83
19111.0,-5.3,25.1,131328,-11.92
19142.0,11.0,30.4,4104,19.89
19173.0,-5.1,25.3,131328,-11.40
19204.0,10.8,30.3,4104,19.62
19235.0,-5.2,25.6,131328,-11.48
19267.0,10.7,30.6,4104,19.27
19298.0,-5.4,25.8,131328,-11.82
19329.0,10.3,30.9,4104,18.43
19360.0,-5.2,26.1,131328,-11.27
19391.0,10.6,30.8,4104,18.99
19423.0,-5.3,26.4,131328,-11.35
19454.0,11.4,31.3,4104,20.01
19485.0,-5.4,26.6,131328,-11.48
19516.0,10.6,31.5,4104,18.60
19547.0,-5.2,27.0,131328,-10.90
19578.0,11.3,31.7,4104,19.62
19610.0,-5.4,27.3,131328,-11.19
19641.0,10.9,31.8,4104,18.92
19672.0,-5.3,27.4,131328,-10.95
19703.0,10.9,32.0,4104,18.81
19734.0,-5.3,27.6,131328,-10.87
19766.0,10.9,32.9,4104,18.33
19797.0,-5.8,27.8,131328,-11.78
19828.0,11.6,32.3,4104,19.75
19859.0,-5.4,27.7,131328,-11.03
19890.0,10.9,32.3,4104,18.65
19922.0,-5.4,27.9,131328,-10.95
